time,can1_AB_Gurtschloss_Reihe2_BF [],can1_AB_Gurtschloss_FA [],can1_AB_Gurtschloss_BF [],can1_AB_Gurtschloss_Reihe2_FA [],can1_AB_Gurtschloss_Reihe2_MI []
79.01739025115967,3,3,3,2,2
79.21838903427124,3,3,3,2,2
79.41738820075989,3,3,3,2,2
79.61838507652283,3,3,3,2,2
79.81742811203003,3,3,3,2,2
80.01738810539246,3,3,3,2,2
80.21839594841003,3,3,3,2,2
80.41744709014893,3,3,3,2,2
80.61725902557373,3,3,3,2,2
80.81837701797485,3,3,3,2,2
81.01753306388855,3,3,3,2,2
81.2188880443573,3,3,3,2,2
81.41755509376526,3,3,3,2,2
81.61863398551941,3,3,3,2,2
81.81862902641296,3,3,3,2,2
82.01876306533813,3,3,3,2,2
82.21876096725464,3,3,3,2,2
82.41776204109192,3,3,3,2,2
82.61776900291443,3,3,3,2,2
82.81801700592041,3,3,3,2,2
83.01789021492004,3,3,3,2,2
83.21963596343994,3,3,3,2,2
83.4183840751648,3,3,3,2,2
83.6182689666748,3,3,3,2,2
83.81925892829895,3,3,3,2,2
84.01818203926086,3,3,3,2,2
84.21926212310791,3,3,3,2,2
84.41925001144409,3,3,3,2,2
84.619136095047,3,3,3,2,2
84.819265127182,3,3,3,2,2
85.01907896995544,3,3,3,2,2
85.22014999389648,3,3,3,2,2
85.41987991333008,3,3,3,2,2
85.61888909339905,3,3,3,2,2
85.8191409111023,3,3,3,2,2
86.0188889503479,3,3,3,2,2
86.2197539806366,3,3,3,2,2
86.41962814331055,3,3,3,2,2
86.6193790435791,3,3,3,2,2
86.81913805007935,3,3,3,2,2
87.01913714408875,3,3,3,2,2
87.22112798690796,3,3,3,2,2
87.41914701461792,3,3,3,2,2
87.61914205551147,3,3,3,2,2
87.81913304328918,3,3,3,2,2
88.0197651386261,3,3,3,2,2
88.22013902664185,3,3,3,2,2
88.41926002502441,3,3,3,2,2
88.61939096450806,3,3,3,2,2
88.82013010978699,3,3,3,2,2
89.02013182640076,3,3,3,2,2
89.221262216568,3,3,3,2,2
89.41989302635193,3,3,3,2,2
89.62014293670654,3,3,3,2,2
89.82012701034546,3,3,3,2,2
90.02012920379639,3,3,3,2,2
90.22076606750488,3,3,3,2,2
90.42038607597351,3,3,3,2,2
90.62074303627014,3,3,3,2,2
90.82051706314087,3,3,3,2,2
91.0203800201416,3,3,3,2,2
91.22125506401062,3,3,3,2,2
91.42025804519653,3,3,3,2,2
91.62037897109985,3,3,3,2,2
91.8203821182251,3,3,3,2,2
92.02025413513184,3,3,3,2,2
92.22088718414307,3,3,3,2,2
92.4202630519867,3,3,3,2,2
92.62026000022888,3,3,3,2,2
92.82026100158691,3,3,3,2,2
93.02112483978271,3,3,3,2,2
93.2211332321167,3,3,3,2,2
93.42075300216675,3,3,3,2,2
93.62100625038147,3,3,3,2,2
93.82051992416382,3,3,3,2,2
94.02113485336304,3,3,3,2,2
94.22163510322571,3,3,3,2,2
94.42100524902344,3,3,3,2,2
94.621502161026,3,3,3,2,2
94.82062911987305,3,3,3,2,2
95.02163100242615,3,3,3,2,2
95.222501039505,3,3,3,2,2
95.42162799835205,3,3,3,2,2
95.62138819694519,3,3,3,2,2
95.82113409042358,3,3,3,2,2
96.0215060710907,3,3,3,2,2
96.22237396240234,3,3,3,2,2
96.42150712013245,3,3,3,2,2
96.621502161026,3,3,3,2,2
96.82151103019714,3,3,3,2,2
97.02150201797485,3,3,3,2,2
97.22288012504578,3,3,3,2,2
97.42163109779358,3,3,3,2,2
97.621258020401,3,3,3,2,2
97.82164001464844,3,3,3,2,2
98.02163100242615,3,3,3,2,2
98.22275590896606,3,3,3,2,2
98.42238593101501,3,3,3,2,2
98.62175107002258,3,3,3,2,2
