time,can1_NP_LatDegree [Unit_DegreOfArc],can1_NP_LongDegree [Unit_DegreOfArc],can1_NP_Fix []
85.40492916107178,47.434250999999996,9.374991,3
85.50504803657532,47.434250999999996,9.374991,3
85.60519099235535,47.434250999999996,9.374991,3
85.7050392627716,47.434250999999996,9.374991,3
85.80519509315491,47.434250999999996,9.374991,3
85.9050030708313,47.434250999999996,9.374991,3
86.00477123260498,47.434158,9.37491,3
86.10513424873352,47.434158,9.37491,3
86.20523715019226,47.434158,9.37491,3
86.30492615699768,47.434158,9.37491,3
86.4057559967041,47.434158,9.37491,3
86.50490093231201,47.434158,9.37491,3
86.60575795173645,47.434158,9.37491,3
86.70588302612305,47.434158,9.37491,3
86.80504608154297,47.434158,9.37491,3
86.90488409996033,47.434158,9.37491,3
87.0060019493103,47.434066,9.374831,3
87.1052610874176,47.434066,9.374831,3
87.2050130367279,47.434066,9.374831,3
87.30600714683533,47.434066,9.374831,3
87.40526604652405,47.434066,9.374831,3
87.50500321388245,47.434066,9.374831,3
87.60527205467224,47.434066,9.374831,3
87.7050449848175,47.434066,9.374831,3
87.80525803565979,47.434066,9.374831,3
87.90600514411926,47.434066,9.374831,3
88.00500988960266,47.433976,9.374753,3
88.10526323318481,47.433976,9.374753,3
88.20601916313171,47.433976,9.374753,3
88.30501818656921,47.433976,9.374753,3
88.4050030708313,47.433976,9.374753,3
88.50600814819336,47.433976,9.374753,3
88.60626411437988,47.433976,9.374753,3
88.70518398284912,47.433976,9.374753,3
88.80600309371948,47.433976,9.374753,3
88.9049129486084,47.433976,9.374753,3
89.00494003295898,47.433889,9.374678,3
89.10612893104553,47.433889,9.374678,3
89.20512700080872,47.433889,9.374678,3
89.3053810596466,47.433889,9.374678,3
89.4053840637207,47.433889,9.374678,3
89.50538301467896,47.433889,9.374678,3
89.60601496696472,47.433889,9.374678,3
89.70588397979736,47.433889,9.374678,3
89.80503726005554,47.433889,9.374678,3
89.90602016448975,47.433889,9.374678,3
90.00600504875183,47.433805,9.374607,3
90.10614204406738,47.433805,9.374607,3
90.20515513420105,47.433805,9.374607,3
90.30638122558594,47.433805,9.374607,3
90.40516805648804,47.433805,9.374607,3
90.50626516342163,47.433805,9.374607,3
90.60626101493835,47.433805,9.374607,3
90.70592212677002,47.433805,9.374607,3
90.8055100440979,47.433805,9.374607,3
